name,sku,pack_size,mrp,selling_price,sound_level,stock,category,description
"Stripped Bijili (100 Pcs)",BIJ-023,"100 Pcs",200,40,Medium,150,"Bijili Crackers","A string of 100 crackers with striped paper wrapping, producing a quick series of cracks."
"1K Special",LAR-024,"1 Box",1850,370,High,150,"Lar","A long garland containing 1,000 crackers that creates a continuous, roaring wall of sound when lit."
"2K Special",LAR-025,"1 Box",3700,740,High,150,"Lar","A longer garland of 2,000 crackers for a more sustained and intense roaring sound."
"5K Special",LAR-026,"1 Box",9250,1850,High,150,"Lar","A very long garland of 5,000 crackers, designed for a powerful and prolonged auditory display."
"10K Special",LAR-027,"1 Box",18000,3600,High,150,"Lar","The longest garland, containing 10,000 crackers for an overwhelming and continuous wall of sound."
"1000 - Shortcut",LAR-028,"1 Box",950,190,High,150,"Lar","A densely packed string of 1,000 crackers designed for a very fast, intense, and loud chain reaction."
"2000 - (Shortcut)",LAR-029,"Shortcut",1900,380,High,150,"Lar","A densely packed string of 2,000 crackers for an even more intense and rapid-fire sound display."
"Hydro Bomb (10 Pcs)",BOM-030,"10 Pcs",325,65,High,150,"Bomb","A pack of 10 small but powerful explosive crackers that produce a single, sharp, and loud bang."
"Winner Bomb (10 Pcs)",BOM-031,"10 Pcs",475,95,High,150,"Bomb","A set of 10 high-performance crackers, known for their loud and sharp report."
"Vibrete Bomb (10 Pcs)",BOM-032,"10 Pcs",590,118,High,150,"Bomb","A pack of 10 crackers designed to produce a distinct vibrating or booming sound effect."
"Digital Bomb (10 Pcs)",BOM-033,"10 Pcs",1225,245,High,150,"Bomb","A set of 10 modern crackers that may produce a rhythmic or unique sound pattern."
"1/4 Kg Adiyal",BOM-034,"1 Box",310,62,High,150,"Bomb","A large, powerful explosive sold by weight, intended to create a very loud, ground-shaking report."
"1/2 Kg Adiyal",BOM-035,"1 Box",625,125,High,150,"Bomb","A heavier and more powerful explosive for an even more intense and deafening bang."
"1 Kg Adiyal",BOM-036,"1 Box",1225,245,High,150,"Bomb","The most powerful version sold by weight, designed for an extremely loud and impactful explosion."
"Colour Paper Bomb",BOM-037,"1 Box",365,73,High,150,"Bomb","A firecracker that explodes with a bang while scattering a burst of colorful paper confetti."
"Rocket Boom (10 Pcs)",ROC-038,"10 Pcs",365,73,Medium,150,"Rocket","A set of 10 rockets that shoot high into the sky with a sparkling trail and culminate in a loud boom."
"Music rocket",ROC-039,"1 Box",725,145,Medium,150,"Rocket","A rocket that ascends with a distinct whistling or ""singing"" sound before bursting."
"2 Sound Rocket (10 Pcs)",ROC-040,"10 Pcs",650,130,Medium,150,"Rocket","A pack of 10 rockets that produce two sounds, typically a whistle on the way up and a final bang at their apex."
"Ultra Pencil (3 pcs)",PEN-041,"3 pcs",400,80,Low,150,"Pencil","A set of 3 small, pencil-shaped fireworks that produce a bright flare or shower of sparks."
"Whizling pencil (5 Pcs)",PEN-042,"5 Pcs",1125,225,Low,150,"Pencil","A pack of 5 pencil-shaped fireworks that emit a high-pitched whistling sound as they burn."
"Pop Corn Pencil _5 PCs",PEN-043,"Pack of Pcs",1125,225,Low,150,"Pencil","A set of 5 pencil-shaped novelties that produce a continuous, fun crackling sound."
"Snake Tablet (10 Box)",KUT-044,"10 Box",175,35,Silent,150,"Kutties Special","A box of 10 classic novelty pellets that, when lit, magically grow into a long, black, snake-like column of ash."
"Kit Kat",KUT-045,"1 Box",150,30,Silent,150,"Kutties Special","A novelty firework that likely produces a distinct ""snapping"" sound."
"11/2 Twinkling Star (10 Pcs)",KUT-046,"10 Pcs",125,25,Silent,150,"Kutties Special","A pack of 10 ground-based fireworks that produce a bright, flashing or strobing light effect."
"4 feet Twinkling Star",KUT-047,"1 Box",375,75,Silent,150,"Kutties Special","A 4-foot long strip or string of lights that produces a continuous twinkling or strobing effect."
"Gun With Ring Cap",KUT-048,"1 Box",900,180,Silent,150,"Kutties Special","A toy pistol that uses plastic ring caps to create a loud but safe snapping sound."
"Anaconda Snake Serpent (10 pcs)",KUT-049,"10 pcs",500,100,Silent,150,"Kutties Special","A larger version of the snake tablet, producing a much longer and thicker ash snake from a single pellet."
"King Power (5 in 1)",MAT-050,"5 in 1",310,62,Silent,150,"Match Box","An all-in-one firework that produces a sequence of 5 different effects from a single fuse."
"Super Dlx (10 in 1)",MAT-051,"10 in 1",530,106,Silent,150,"Match Box","A multi-effect firework that produces a sequence of 10 varied effects from a single ignition."
"Robin VIP 10 in 1",MAT-052,"1 Box",1280,256,Silent,150,"Match Box","A premium 10-in-1 multi-effect firework, offering a high-quality sequence of sounds and visuals."
"Multicolour Butterfly (10 Pcs)",COL-053,"10 Pcs",500,100,Medium,150,"Colorful Nights","A pack of 10 fireworks that spin on the ground and then flutter into the air like a butterfly, emitting multi-colored sparks."
"Photo Flash (5 Pcs)",COL-054,"5 Pcs",250,50,Medium,150,"Colorful Nights","A pack of 5 fireworks that produce a single, intensely bright flash of white light."
"Rainbow Smoke (3 Pcs)",COL-055,"3 Pcs",1000,200,Medium,150,"Colorful Nights","A set of 3 daytime fireworks that emit dense plumes of smoke in a variety of different colors."
"Peacock Feather (5 Pcs)",COL-056,"5 Pcs",625,125,Medium,150,"Colorful Nights","A pack of 5 fireworks that create a beautiful, fan-shaped spray of sparks, resembling a peacock's tail feathers."
"Sound Siren (3 Pcs)",COL-057,"3 Pcs",1025,205,Medium,150,"Colorful Nights","A set of 3 fireworks that emit a loud, rising and falling wailing sound, just like an emergency siren."
"Helicopter (5 pcs)",COL-058,"5 pcs",500,100,Medium,150,"Colorful Nights","A pack of 5 fireworks with blades that spin rapidly, creating lift and sending them flying into the air with a colored flare."
"900 CC (5 Pcs)",COL-059,"5 Pcs",1000,200,Medium,150,"Colorful Nights","A pack of 5 novelty items whose name suggests a powerful effect, possibly a very loud whistle or a deep report."
"Selfi Stick",COL-060,"1 Box",675,135,Medium,150,"Colorful Nights","A very long-burning sparkler or flare, whimsically named for its resemblance to a selfie stick."
"Nano Tri Colour (5 Pcs)",COL-061,"5 Pcs",1000,200,Medium,150,"Colorful Nights","A pack of 5 small fireworks that produce a three-color effect, likely in a fountain or a small aerial burst."
"Moon Light (5 Pcs)",COL-062,"5 Pcs",450,90,Medium,150,"Colorful Nights","A pack of 5 fireworks that produce a steady, bright light, often silver or white, designed to mimic the glow of moonlight."
"90 Watts (Digital Walla) 3 Pcs",COL-063,"Digital Walla",675,135,Medium,150,"Colorful Nights","A set of 3 sound-based fireworks with a unique rhythmic, ""digital"" sound pattern."
"6 inch Water Queen",COL-064,"1 Box",1075,215,Medium,150,"Colorful Nights","A fountain or aerial device with a water-themed name, suggesting brilliant blue and silver sparkling effects."
"Sky Wings (Red and Green Crackling Rider) 5 Pcs",COL-065,"Red and Green Crackling Rider",725,145,Medium,150,"Colorful Nights","An aerial firework that shoots into the sky, creating a trail of red and green effects combined with a crackling sound."
"Twix Fountain (5 Pcs)",COL-066,"5 Pcs",900,180,Medium,150,"Colorful Nights","A novelty fountain, likely producing two simultaneous streams of sparks or a dual-color effect."
"Bat & Ball",COL-067,"1 Box",1400,280,Medium,150,"Colorful Nights","A novelty cracker that likely makes a sharp popping sound, themed after the sport."
"Tin Shower",COL-068,"1 Box",500,100,Medium,150,"Colorful Nights","A firework that produces a shower of sparks, possibly with a unique metallic crackle sound."
"Cock Fight, Mojito,Lollipops (4 Verities) _2 Pcs",COL-069,"4 Verities",1000,200,Medium,150,"Colorful Nights","A variety pack containing 4 different types of novelty fireworks with fun, themed effects or shapes."
"Mayajall Fountaion",COL-070,"1 Box",950,190,Medium,150,"Colorful Nights","A fountain that creates an enchanting or ""magical"" (Maya) display of sparks, likely with unique colors or effects."
"Hi Hi (5 Pcs)",COL-071,"5 Pcs",900,180,Medium,150,"Colorful Nights","A pack of 5 simple novelty fireworks that likely produce a high-pitched whistling or popping sound."
"Dora Singer",COL-072,"1 Box",1125,225,Medium,150,"Colorful Nights","A themed novelty item, possibly featuring a long-duration whistling or ""singing"" sound effect."
"Little Pot Mix (5 Pcs)",COL-073,"5 Pcs",575,115,Medium,150,"Colorful Nights","A variety pack containing five different types of small fountains or ""pots."""
"Amazing Peacock",COL-074,"1 Box",950,190,Medium,150,"Colorful Nights","A ground-based firework that unfolds into a large, beautiful, fan-shaped display of multi-colored sparks, mimicking a peacock's tail."
"Bada Peacock",COL-075,"1 Box",1400,380,Medium,150,"Colorful Nights","A bigger version of the Amazing Peacock, for a larger, more spectacular display."
"Jack & Jill _5 Varieties",COL-076,"1 Box",900,180,Medium,150,"Colorful Nights","A variety pack containing five different types of small, fun novelty fireworks."
"Drone (5 Pcs)",COL-077,"5 Pcs",725,145,Medium,150,"Colorful Nights","A pack of 5 fireworks that likely hover or spin in the air while emitting sparks or light."
"Money Bank (3 Pcs)",COL-078,"3 Pcs",725,145,Medium,150,"Colorful Nights","A set of 3 novelty fountains shaped like a money bank, likely emitting gold or silver sparks."
"Teen Titans (5 Pcs)",COL-079,"5 Pcs",950,190,Medium,150,"Colorful Nights","A themed firework, likely a multi-shot cake or fountain featuring vibrant colors associated with the cartoon characters."
"KJ Pots (5 Pcs)",COL-080,"5 Pcs",1125,225,Medium,150,"Colorful Nights","A specific brand of small fountains or ""pots."""
"Titoo (6 in 1 Jumping Chakkar in Ball)",COL-081,"6 in 1 Jumping Chakkar in Ball",725,145,Medium,150,"Colorful Nights","A complex novelty item that combines a jumping cracker effect with a spinning ""Chakkar"" or ball, offering 6 different effects."
"Mega Tri Colour (5 Pcs)",COL-082,"5 Pcs",1450,290,Medium,150,"Colorful Nights","A pack of 5 larger fireworks that produce a vibrant and powerful three-color effect."
"Magic Show (2 Pcs)",COL-083,"2 Pcs",1400,280,Medium,150,"Colorful Nights","A pair of multi-effect fireworks that produce a sequence of varied and surprising visual effects."
"Rain & Shine _4 Verities (Fountain with Sky Shot)",COL-084,"Fountain with Sky Shot",1225,245,Medium,150,"Colorful Nights","A combination firework that starts as a ground fountain and then launches aerial effects."
"Red Bloom (5 Pcs)",COL-085,"5 Pcs",1075,215,Medium,150,"Colorful Nights","An aerial firework that bursts in the sky into a beautiful red peony or ""bloom"" shape."
"AK 47 Gun Water Falls",COL-086,"1 Box",1125,225,Medium,150,"Colorful Nights","A firework that produces a cascading sheet of sparks (a ""waterfall"" effect) accompanied by a rapid-fire crackling sound."
"Mr.Bean (Car Fountain) 3 Pcs",NEW-087,"Car Fountain",1225,245,Medium,150,"New Arrivals (2025)","A set of 3 novelty fountains shaped like a car that emits sparks, often with other themed effects."
"Motu Patlu _Fire Ice _4 Verities",NEW-088,"1 Box",1175,235,Medium,150,"New Arrivals (2025)","A themed variety pack named after a popular cartoon, suggesting a mix of warm (red/gold) and cool (blue/silver) colored effects."
"Lemon Tree (Multi Colour with Crackling 2 in 1) Ayyan",NEW-089,"Multi Colour with Crackling 2 in 1",725,145,Medium,150,"New Arrivals (2025)","A fountain that produces a multi-colored shower of sparks combined with a loud crackling sound effect."
"The War_Green War Display (3 Pcs)",NEW-090,"3 Pcs",1075,215,Medium,150,"New Arrivals (2025)","A multi-shot cake that launches a series of green-colored aerial effects, creating a dramatic, ""war-like"" display in the sky."
"Rio Wheel (Double Spin Pink Wheel) Ayyan",NEW-091,"Double Spin Pink Wheel",1300,260,Medium,150,"New Arrivals (2025)","A novelty ground spinner with a double wheel design that creates a vibrant pink-colored circular spark display."
"Spin Master Mini (Colour Changing Wheel)",NEW-092,"Colour Changing Wheel",750,150,Medium,150,"New Arrivals (2025)","A small ground spinner that changes colors as it whirls."
"Violet (Thundar Crackling Fountain with 2 shot in sky)",NEW-093,"Thundar Crackling Fountain with 2 shot in sky",2000,400,Medium,150,"New Arrivals (2025)","A combination firework that begins with a loud, crackling ground fountain and then fires two colorful shots into the sky."
"Magic Sound _Digital Wala (4 Colours)",NEW-094,"4 Colours",950,190,Medium,150,"New Arrivals (2025)","A sound-based firework that produces a rhythmic series of pops or whistles in four different colors."
"Zodiac Spinners (5 Pcs)_Red/Green/Silver (Ayyan)",NEW-095,"5 Pcs",1125,225,Medium,150,"New Arrivals (2025)","A set of 5 spinners that create beautiful ground-level circles of red, green, and silver sparks."
"Emu Egg _2 Pcs",NEW-096,"Pack of Pcs",1075,215,Medium,150,"New Arrivals (2025)","A pair of large, egg-shaped novelty fireworks that emit a shower of sparks, crackles, or smoke from the ground."
"Gold Coin _Laddu Fountaion (5 Pcs)",NEW-097,"5 Pcs",1300,260,Medium,150,"New Arrivals (2025)","A set of 5 novelty fountains shaped like an Indian sweet (""Laddu"") that emit a shower of golden sparks."
"5G Gun _2 Pcs",NEW-098,"Pack of Pcs",1125,225,Medium,150,"New Arrivals (2025)","A pair of modern-themed novelty items, likely producing a rapid series of shots or a loud report."
"Cocktail Spinners (10 Pcs) Ayyan",NEW-099,"10 Pcs",310,62,Medium,150,"New Arrivals (2025)","A set of 10 colorful ground spinners, likely with vibrant, mixed-color effects."
"Happy Dinosaurs _Red Crackling Toy Fountain (Ajanta)",NEW-100,"Ajanta",1575,315,Medium,150,"New Arrivals (2025)","A kid-friendly, themed fountain shaped like a dinosaur that emits red sparks with a crackling sound."
"Golden Big Laddu Fountains _5 Pcs",NEW-101,"Pack of Pcs",2125,425,Medium,150,"New Arrivals (2025)","A pack of 5 large novelty fountains shaped like an Indian sweet that emit an impressive shower of golden sparks."
"Milano (Silver Icecream Fountain) Ajanta",NEW-102,"Silver Icecream Fountain",1225,245,Medium,150,"New Arrivals (2025)","A novelty fountain shaped like an ice cream cone that emits a shower of silver sparks."
"Jingle (Gold Icecream Fountain) Ajanta",NEW-103,"Gold Icecream Fountain",1225,245,Medium,150,"New Arrivals (2025)","A novelty fountain shaped like an ice cream cone that emits a shower of golden sparks."
"Chotta Fancy",AMA-104,"1 Box",200,40,Medium,150,"Amazing Shots","A small, fancy novelty item, likely with a simple but colorful and pretty effect."
"7 Shot",AMA-105,"1 Box",500,100,Medium,150,"Amazing Shots","An aerial repeater that fires 7 colorful shots into the air."
"12 shot Crackling",AMA-106,"1 Box",725,145,Medium,150,"Amazing Shots","An aerial repeater that fires 12 shots, each with a loud crackling burst."
"12 shot Multi Colour",AMA-107,"1 Box",1300,260,Medium,150,"Amazing Shots","An aerial repeater that fires 12 shots, each with a vibrant multi-colored burst."
"Penta Collection (5 Pcs)",AMA-108,"5 Pcs",900,180,Medium,150,"Amazing Shots","A collection of five different aerial shots or multi-effect fireworks."
"25 shot Raider",AMA-109,"1 Box",1400,280,Medium,150,"Amazing Shots","An aerial repeater that fires 25 powerful and colorful shots into the air."
"30 shot - Multi Colour",AMA-110,"1 Box",2250,450,Medium,150,"Amazing Shots","An aerial repeater that fires 30 shots with multi-colored bursts."
"60 shot - Multi Colour",AMA-111,"1 Box",4500,900,Medium,150,"Amazing Shots","An aerial repeater that fires 60 shots with multi-colored bursts for a longer display."
"120 shot - Multi Colour",AMA-112,"1 Box",9000,1800,Medium,150,"Amazing Shots","An aerial repeater that fires 120 shots with multi-colored bursts for a grand finale effect."
"30 Shot - Premium",AMA-113,"1 Box",2500,500,Medium,150,"Amazing Shots","A premium aerial repeater that fires 30 high-quality shots with more vibrant colors and louder bursts."
"60 Shot Premium",AMA-114,"1 Box",5000,1000,Medium,150,"Amazing Shots","A premium aerial repeater firing 60 high-quality shots for a more spectacular display."
"120 Shot Premium",AMA-115,"1 Box",10000,2000,Medium,150,"Amazing Shots","A premium 120-shot aerial repeater, offering the best quality effects for a stunning, long-lasting show."
"2inch Fancy Pipe",FAN-116,"1 Box",575,115,Medium,150,"Fancy Shots","A single-shot aerial mortar that fires a 2-inch shell high into the air."
"2inch (3 Pcs)",FAN-117,"3 Pcs",1400,280,Medium,150,"Fancy Shots","A pack of three 2-inch single-shot aerial mortars."
"2 inch Double Ball (2 Pcs)",FAN-118,"2 Pcs",3625,725,Medium,150,"Fancy Shots","A single-shot mortar that fires two 2-inch shells at the same time for a fuller burst."
"2 inch Triple Ball (2 Pcs)",FAN-119,"2 Pcs",5000,1000,Medium,150,"Fancy Shots","A single-shot mortar that fires three 2-inch shells simultaneously for a dramatic aerial display."
"31/2 Fancy Pipe (MK Brand)",FAN-120,"MK Brand",1550,310,Medium,150,"Fancy Shots","A single-shot aerial mortar from MK Brand that fires a 3.5-inch shell."
"3inch Fancy Pipe_4 Verities",FAN-121,"1 Box",1125,225,Medium,150,"Fancy Shots","A pack of four different 3-inch single-shot aerial mortars."
"4 inch Fancy (Puma)",FAN-122,"Puma",1850,370,Medium,150,"Fancy Shots","A 4-inch single-shot aerial mortar from the Puma brand, known for powerful bursts."
"4inch (Bindhu Brand)",FAN-123,"Bindhu Brand",2125,425,Medium,150,"Fancy Shots","A 4-inch single-shot aerial mortar from the Bindhu brand."
"4inch Liya 12 Step",FAN-124,"1 Box",2125,425,Medium,150,"Fancy Shots","A unique and complex 4-inch aerial shell that produces a 12-stage or multi-layered effect as it bursts."
"Double ball (Spanka)",FAN-125,"Spanka",2400,480,Medium,150,"Fancy Shots","A single-shot mortar from the Spanka brand that fires two shells at once."
"41/2 inch Fancy (Balaji Brand) 2 Pcs",FAN-126,"Balaji Brand",3900,780,Medium,150,"Fancy Shots","A pair of large 4.5-inch single-shot mortars from Balaji Brand for very big aerial bursts."
"10 cm Electric (10 Pcs)",SPA-127,"10 Pcs",85,17,Silent,150,"Sparklers","A pack of 10 short, 10cm sparklers that produce extra-bright, crackling ""electric"" sparks."
"10 cm Colour (10 Pcs)",SPA-128,"10 Pcs",95,19,Silent,150,"Sparklers","A pack of 10 short, 10cm sparklers that burn with multiple colors."
"10 cm Green (10 Pcs)",SPA-129,"10 Pcs",95,19,Silent,150,"Sparklers","A pack of 10 short, 10cm sparklers that produce green sparks."
"10 cm Red (10 Pcs)",SPA-130,"10 Pcs",105,21,Silent,150,"Sparklers","A pack of 10 short, 10cm sparklers that produce red sparks."
"12 cm Electric (10 Pcs)",SPA-131,"10 Pcs",125,25,Silent,150,"Sparklers","A pack of 10 medium, 12cm sparklers that produce extra-bright, crackling sparks."
"12 cm Colour (10 Pcs)",SPA-132,"10 Pcs",135,27,Silent,150,"Sparklers","A pack of 10 medium, 12cm sparklers that burn with multiple colors."
"12 cm Green (10 Pcs)",SPA-133,"10 Pcs",145,29,Silent,150,"Sparklers","A pack of 10 medium, 12cm sparklers that produce green sparks."
"12 cm Red (10 Pcs)",SPA-134,"10 Pcs",160,32,Silent,150,"Sparklers","A pack of 10 medium, 12cm sparklers that produce red sparks."
"15 cm Electric (10 Pcs)",SPA-135,"10 Pcs",200,40,Silent,150,"Sparklers","A pack of 10 medium-long, 15cm sparklers with an extra-bright, crackling effect."
"15 cm Colour (10 Pcs)",SPA-136,"10 Pcs",215,43,Silent,150,"Sparklers","A pack of 10 medium-long, 15cm sparklers that change colors as they burn."
"15 cm Green (10 Pcs)",SPA-137,"10 Pcs",225,45,Silent,150,"Sparklers","A pack of 10 medium-long, 15cm sparklers that produce green sparks."
"15 cm Red (10 Pcs)",SPA-138,"10 Pcs",250,50,Silent,150,"Sparklers","A pack of 10 medium-long, 15cm sparklers that produce red sparks."
"30 cm Electric (5 Pcs)",SPA-139,"5 Pcs",200,40,Silent,150,"Sparklers","A pack of 5 long, 30cm sparklers with a bright, crackling ""electric"" effect for a longer burn time."
"30 cm Color (5 Pcs)",SPA-140,"5 Pcs",215,43,Silent,150,"Sparklers","A pack of 5 long, 30cm sparklers that burn with multiple colors."
"30 cm Green (5 Pcs)",SPA-141,"5 Pcs",225,45,Silent,150,"Sparklers","A pack of 5 long, 30cm sparklers that produce green sparks."
"30 cm Red (5 Pcs)",SPA-142,"5 Pcs",250,50,Silent,150,"Sparklers","A pack of 5 long, 30cm sparklers that produce red sparks."
"50 cm Electric (5 Pcs)",SPA-143,"5 Pcs",1000,200,Silent,150,"Sparklers","A pack of 5 extra-long, 50cm sparklers with an ""electric"" crackling effect for a very long duration."
"50 cm Colour (5 Pcs)",SPA-144,"5 Pcs",1050,210,Silent,150,"Sparklers","A pack of 5 extra-long, 50cm sparklers that burn with multiple colors."
"Rotating Sparkle",SPA-145,"1 Box",1225,245,Silent,150,"Sparklers","A handheld novelty sparkler that spins as it burns, creating a small, dazzling spiral of sparks."
